_id,AREA_NAME,HOOD_ID,year,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,BREAKENTER_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,population
1,South Eglinton-Davisville,174,2014,344.9786377,27.3792572,93.08947754,147.8479919,0,65.71022034,5.475851536,98.56533051,21.90340614,1826.2000342985298
1,South Eglinton-Davisville,174,2015,332.1354675,21.77937508,103.452034,174.2350006,0,54.44843674,0,103.452034,16.33453178,1836.6000011727142
1,South Eglinton-Davisville,174,2016,377.8269653,16.19258308,145.7332611,134.9382019,5.397527695,48.57775116,5.397527695,70.16786194,21.59011078,1852.6999507411813
1,South Eglinton-Davisville,174,2017,429.4542847,41.89797974,178.0664063,193.7781525,0,36.66073227,0,89.03320313,5.237247467,1909.3999739060002
1,South Eglinton-Davisville,174,2018,431.5816345,76.16146088,152.3229218,243.7166748,0,86.31632233,5.077430725,96.47118378,15.23229218,1969.499932462951
1,South Eglinton-Davisville,174,2019,345.8668823,39.52764511,207.5201416,410.0993042,4.940955639,24.70477867,4.940955639,118.5829315,14.82286644,2023.9000489004034
1,South Eglinton-Davisville,174,2020,396.8446045,72.59352112,454.9194336,338.7697754,4.839568138,77.43309021,4.839568138,208.1014404,24.19784164,2066.299984179324
1,South Eglinton-Davisville,174,2021,577.4553833,71.58538055,162.2601929,209.9837799,4.772358418,52.49594498,0,104.99189,28.634151459999998,2095.3999823937565
1,South Eglinton-Davisville,174,2022,597.6281738,46.68970108,81.86655751,121.393219,0,74.70352173,4.668970108,195.5701096,14.00691032,2141.7999621088143
1,South Eglinton-Davisville,174,2023,459.3623657,95.51098633,168.28125,195.5701141,NA,13.64442635,NA,181.9256897,36.38513565,2198.6999271499094
2,North Toronto,173,2014,386.963623,34.39676666,42.99596024,214.9797974,0,42.99596024,0,154.7854462,17.19838333,1162.9000072701924
2,North Toronto,173,2015,449.127655,8.637070656,112.2819138,380.0310974,0,86.37070465,0,51.82242203,25.91121101,1157.8000023178265
2,North Toronto,173,2016,372.0688782,17.30552864,77.87487793,129.7914734,0,60.5693512,0,112.485939,17.30552864,1155.6999931847565
2,North Toronto,173,2017,429.0075073,16.50028801,107.2518768,198.0034637,0,49.50086594,0,107.2518768,16.50028801,1212.1000009362774
2,North Toronto,173,2018,433.5487976,31.53082085,134.0059967,331.0736389,0,70.9443512,0,55.178936,39.41352844,1268.5999893083315
2,North Toronto,173,2019,582.0105591,30.23431587,166.2887421,272.1088562,7.558578968,143.6130066,0,136.0544281,30.23431587,1323.0000520792955
2,North Toronto,173,2020,525.9697266,80.35649109,365.2567749,642.8519287,7.305135727,21.91540718,0,175.3232574,43.83081436,1368.9000784403702
2,North Toronto,173,2021,740.5825195,99.69379425,156.6616821,348.9282837,0,71.20985413,7.120985508,121.0567551,14.24197102,1404.2999566100345
2,North Toronto,173,2022,893.8393555,68.75687408,66.32619221,316.2816162,0,75.63256073,6.875687599,152.5502421,27.5027504,1454.400046273192
2,North Toronto,173,2023,696.4249878,119.387146,145.9176178,205.6111908,NA,92.85666656,NA,271.9373779,46.42833328,1507.7000658993297
3,Dovercourt Village,172,2014,412.0070496,58.85815048,191.2889862,279.5762329,7.35726881,176.5744629,0,294.2907715,36.78634644,1359.2000441343905
3,Dovercourt Village,172,2015,422.159668,74.06310272,251.8145447,155.5325165,0,140.7198944,0,251.8145447,22.2189312,1350.2000385313927
3,Dovercourt Village,172,2016,587.447937,133.8488922,386.6745911,275.1338501,0,96.66864777,14.87209988,364.3664551,37.18024826,1344.8000243807137
3,Dovercourt Village,172,2017,693.9317627,81.20478058,332.2013855,287.9078674,7.38225317,280.5256042,0,310.0546265,22.14675903,1354.6000493515094
3,Dovercourt Village,172,2018,684.9315186,80.15155792,218.5951691,364.3252563,0,225.8816681,0,597.4934692,29.14602089,1372.399976455106
3,Dovercourt Village,172,2019,694.3439941,86.79299927,188.0514984,600.3182373,14.46549988,101.2584991,0,484.5942383,21.69824982,1382.599991009269
3,Dovercourt Village,172,2020,542.7310181,130.2554474,202.6195831,340.1114502,7.236413479,108.5462036,0,484.8397217,21.70923996,1381.9000112166243
3,Dovercourt Village,172,2021,734.3318481,58.16489792,189.0359192,138.1416321,0,159.9534607,14.54122448,130.8710175,14.54122448,1375.3999674850818
3,Dovercourt Village,172,2022,688.9549561,181.3039398,144.5400014,239.3211975,0,72.52157593,0,202.356002,29.00863075,1378.90001601514
3,Dovercourt Village,172,2023,751.6080322,202.3560028,274.6260071,332.4420166,NA,151.7669983,7.227000237,173.447998,21.68099976,1383.6999545572446
4,Junction-Wallace Emerson,171,2014,655.6818848,80.89581299,170.3069763,157.5339508,4.257674694,110.6995392,0,298.0372009,21.28837204,2348.6999346790553
4,Junction-Wallace Emerson,171,2015,658.6399536,71.31769562,172.0015106,192.9773102,12.58547592,125.8547668,8.390317917,109.0741272,20.97579384,2383.699912856304
4,Junction-Wallace Emerson,171,2016,684.8467407,49.50699234,206.2791443,169.1488953,0,107.265152,4.125582695,198.0279694,24.75349617,2423.8999784145426
